Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Gene names  (ordered locus )
A0A0M0J758	A0A0M0J758_9EUKA	unreviewed	Cyclin-dependent kinase-like 2	Ctob_003691	Chrysochromulina tobinii	792			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
A0A0M0KTY4	A0A0M0KTY4_9EUKA	unreviewed	Uncharacterized protein	Ctob_014471	Chrysochromulina tobinii	229	methylation [GO:0032259]		methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]; methylation [GO:0032259]	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168; GO:0032259	
A0A0M0JPZ2	A0A0M0JPZ2_9EUKA	unreviewed	Glyoxalase bleomycin resistance protein dioxygenase	Ctob_008388	Chrysochromulina tobinii	214			dioxygenase activity [GO:0051213]	dioxygenase activity [GO:0051213]	GO:0051213	
A0A0M0JSA7	A0A0M0JSA7_9EUKA	unreviewed	Threonine synthase (EC 4.2.3.1)	Ctob_009013	Chrysochromulina tobinii	427	threonine biosynthetic process [GO:0009088]		pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]; threonine biosynthetic process [GO:0009088]	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]	GO:0004795; GO:0009088; GO:0030170	
A0A0M0JMT6	A0A0M0JMT6_9EUKA	unreviewed	Uncharacterized protein	Ctob_008325	Chrysochromulina tobinii	397						
A0A0M0K9Q9	A0A0M0K9Q9_9EUKA	unreviewed	Vacuolar amino acid transporter 6	Ctob_015087	Chrysochromulina tobinii	371		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0K5B5	A0A0M0K5B5_9EUKA	unreviewed	Uncharacterized protein	Ctob_008564	Chrysochromulina tobinii	181		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JXP0	A0A0M0JXP0_9EUKA	unreviewed	Proteasome subunit alpha type	Ctob_005490	Chrysochromulina tobinii	187	ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; ubiquitin-dependent protein catabolic process [GO:0006511]		GO:0005634; GO:0005737; GO:0006511; GO:0019773	
A0A0M0JAG8	A0A0M0JAG8_9EUKA	unreviewed	Elongation of fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	Ctob_003169	Chrysochromulina tobinii	228	fatty acid biosynthetic process [GO:0006633]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; 3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid biosynthetic process [GO:0006633]	3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	GO:0006633; GO:0016021; GO:0102336; GO:0102337; GO:0102338; GO:0102756	
A0A0M0J472	A0A0M0J472_9EUKA	unreviewed	Putative importin-7-like protein	Ctob_001170	Chrysochromulina tobinii	1000	intracellular protein transport [GO:0006886]		small GTPase binding [GO:0031267]; intracellular protein transport [GO:0006886]	small GTPase binding [GO:0031267]	GO:0006886; GO:0031267	
A0A0M0JKG1	A0A0M0JKG1_9EUKA	unreviewed	Deoxyribodipyrimidine photo-lyase-like protein	Ctob_007351	Chrysochromulina tobinii	438			lyase activity [GO:0016829]	lyase activity [GO:0016829]	GO:0016829	
A0A0M0JIE6	A0A0M0JIE6_9EUKA	unreviewed	Uncharacterized protein	Ctob_000245	Chrysochromulina tobinii	253	CAAX-box protein processing [GO:0071586]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; CAAX-box protein processing [GO:0071586]	metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0016021; GO:0071586	
A0A0M0K5S2	A0A0M0K5S2_9EUKA	unreviewed	Uncharacterized protein	Ctob_009982	Chrysochromulina tobinii	353						
A0A0M0JAY4	A0A0M0JAY4_9EUKA	unreviewed	Calcium-binding allergen ole e 8-like protein	Ctob_002715	Chrysochromulina tobinii	694			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509	
A0A0M0J6N2	A0A0M0J6N2_9EUKA	unreviewed	2'-phosphotransferase (EC 2.7.1.160)	Ctob_000268	Chrysochromulina tobinii	1353			NAD+ ADP-ribosyltransferase activity [GO:0003950]; tRNA 2'-phosphotransferase activity [GO:0000215]	NAD+ ADP-ribosyltransferase activity [GO:0003950]; tRNA 2'-phosphotransferase activity [GO:0000215]	GO:0000215; GO:0003950	
A0A0M0J5K4	A0A0M0J5K4_9EUKA	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	Ctob_001537	Chrysochromulina tobinii	504			ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0005524; GO:0106310; GO:0106311	
A0A0M0JVM6	A0A0M0JVM6_9EUKA	unreviewed	Uncharacterized protein	Ctob_003975	Chrysochromulina tobinii	195						
A0A0M0JGR3	A0A0M0JGR3_9EUKA	unreviewed	Golgi snap receptor complex member 2	Ctob_006257	Chrysochromulina tobinii	223	protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; SNAP receptor activity [GO:0005484]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]	SNAP receptor activity [GO:0005484]	GO:0005484; GO:0005794; GO:0015031; GO:0016021; GO:0016192	
A0A0M0JQY1	A0A0M0JQY1_9EUKA	unreviewed	Uncharacterized protein	Ctob_005227	Chrysochromulina tobinii	279						
A0A0M0J3D6	A0A0M0J3D6_9EUKA	unreviewed	Violaxanthin de-epoxidase	Ctob_001664	Chrysochromulina tobinii	473	xanthophyll cycle [GO:0010028]		violaxanthin de-epoxidase activity [GO:0046422]; xanthophyll cycle [GO:0010028]	violaxanthin de-epoxidase activity [GO:0046422]	GO:0010028; GO:0046422	
A0A0M0JIM5	A0A0M0JIM5_9EUKA	unreviewed	Uncharacterized protein	Ctob_002239	Chrysochromulina tobinii	305						
A0A0M0JFP8	A0A0M0JFP8_9EUKA	unreviewed	RNA (Guanine-9-)-methyltransferase domain-containing protein 2-like protein	Ctob_012157	Chrysochromulina tobinii	367	methylation [GO:0032259]		methyltransferase activity [GO:0008168]; methylation [GO:0032259]	methyltransferase activity [GO:0008168]	GO:0008168; GO:0032259	
A0A0M0JR96	A0A0M0JR96_9EUKA	unreviewed	Uncharacterized protein	Ctob_005561	Chrysochromulina tobinii	148		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0K8Z1	A0A0M0K8Z1_9EUKA	unreviewed	FAD_binding_3 domain-containing protein	Ctob_009109	Chrysochromulina tobinii	388			FAD binding [GO:0071949]	FAD binding [GO:0071949]	GO:0071949	
A0A0M0LS38	A0A0M0LS38_9EUKA	unreviewed	Uncharacterized protein	Ctob_016368	Chrysochromulina tobinii	40						
A0A0M0J541	A0A0M0J541_9EUKA	unreviewed	Silent information regulator protein sir2	Ctob_000904	Chrysochromulina tobinii	289						
A0A0M0J6C6	A0A0M0J6C6_9EUKA	unreviewed	Uncharacterized protein	Ctob_001137	Chrysochromulina tobinii	1491						
A0A0M0K0D5	A0A0M0K0D5_9EUKA	unreviewed	Uncharacterized protein	Ctob_016181	Chrysochromulina tobinii	100						
A0A0M0JV00	A0A0M0JV00_9EUKA	unreviewed	PARP-type domain-containing protein	Ctob_004162	Chrysochromulina tobinii	309		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	GO:0003677; GO:0005634; GO:0008270	
A0A0M0JYH9	A0A0M0JYH9_9EUKA	unreviewed	Uncharacterized protein	Ctob_006877	Chrysochromulina tobinii	295						
A0A0M0J7H5	A0A0M0J7H5_9EUKA	unreviewed	Uncharacterized protein	Ctob_006360	Chrysochromulina tobinii	570						
A0A0M0KC33	A0A0M0KC33_9EUKA	unreviewed	Nucleosome assembly protein 1 2	Ctob_012168	Chrysochromulina tobinii	404	nucleosome assembly [GO:0006334]	nucleus [GO:0005634]	nucleus [GO:0005634]; nucleosome assembly [GO:0006334]		GO:0005634; GO:0006334	
A0A0M0JSF3	A0A0M0JSF3_9EUKA	unreviewed	Enoyl-CoA hydratase	Ctob_010340	Chrysochromulina tobinii	282			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824	
A0A0M0JYE8	A0A0M0JYE8_9EUKA	unreviewed	Coiled-coil domain-containing protein 22	Ctob_004324	Chrysochromulina tobinii	568						
A0A0M0KCR0	A0A0M0KCR0_9EUKA	unreviewed	Uncharacterized protein	Ctob_012436	Chrysochromulina tobinii	94						
A0A0M0KAG7	A0A0M0KAG7_9EUKA	unreviewed	Uncharacterized protein	Ctob_015331	Chrysochromulina tobinii	219						
A0A0M0JHA0	A0A0M0JHA0_9EUKA	unreviewed	Uncharacterized protein	Ctob_007531	Chrysochromulina tobinii	249						
A0A0M0J3Y4	A0A0M0J3Y4_9EUKA	unreviewed	Uncharacterized protein	Ctob_004930	Chrysochromulina tobinii	739						
A0A0M0JGA0	A0A0M0JGA0_9EUKA	unreviewed	1,4-alpha-glucan-branching enzyme (Fragment)	Ctob_007053	Chrysochromulina tobinii	277	glycogen biosynthetic process [GO:0005978]		1,4-alpha-glucan branching enzyme activity [GO:0003844]; glycogen biosynthetic process [GO:0005978]	1,4-alpha-glucan branching enzyme activity [GO:0003844]	GO:0003844; GO:0005978	
A0A0M0JB42	A0A0M0JB42_9EUKA	unreviewed	ELM2 domain-containing protein	Ctob_002973	Chrysochromulina tobinii	145		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634	
A0A0M0JFU4	A0A0M0JFU4_9EUKA	unreviewed	Uncharacterized protein	Ctob_004205	Chrysochromulina tobinii	325						
A0A075DWU9	A0A075DWU9_9EUKA	unreviewed	Protein translocase subunit SecA (EC 7.4.2.8)	secA ChtoCp_00126	Chrysochromulina tobinii	872	intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]	chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]	chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; ATP binding [GO:0005524]; intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]	ATP binding [GO:0005524]	GO:0005524; GO:0006605; GO:0009535; GO:0009570; GO:0017038; GO:0065002	
A0A0M0J704	A0A0M0J704_9EUKA	unreviewed	ATP-binding cassette superfamily	Ctob_003688	Chrysochromulina tobinii	1545			acyltransferase activity [GO:0016746]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	acyltransferase activity [GO:0016746]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0016746; GO:0042626	
A0A0M0JQM8	A0A0M0JQM8_9EUKA	unreviewed	Leucine-rich repeat-containing protein	Ctob_011518	Chrysochromulina tobinii	510						
A0A0M0K4Q4	A0A0M0K4Q4_9EUKA	unreviewed	Uncharacterized protein	Ctob_008870	Chrysochromulina tobinii	208						
A0A0M0K7L3	A0A0M0K7L3_9EUKA	unreviewed	Ribokinase	Ctob_011835	Chrysochromulina tobinii	1916			kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	GO:0016301; GO:0016773	
A0A0M0J7P2	A0A0M0J7P2_9EUKA	unreviewed	Mrr_cat domain-containing protein	Ctob_001623	Chrysochromulina tobinii	794	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA restriction-modification system [GO:0009307]	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	GO:0003677; GO:0004519; GO:0009307	
A0A0M0KA27	A0A0M0KA27_9EUKA	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	Ctob_013872	Chrysochromulina tobinii	702			ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0004707; GO:0005524; GO:0106310; GO:0106311	
A0A0M0J6D2	A0A0M0J6D2_9EUKA	unreviewed	Achain structural determinant protein	Ctob_000445	Chrysochromulina tobinii	1164						
A0A0M0JAT1	A0A0M0JAT1_9EUKA	unreviewed	Uncharacterized protein	Ctob_003729	Chrysochromulina tobinii	674						
A0A0M0JU70	A0A0M0JU70_9EUKA	unreviewed	Uncharacterized protein	Ctob_007955	Chrysochromulina tobinii	180						
A0A0M0JWM7	A0A0M0JWM7_9EUKA	unreviewed	Uncharacterized protein	Ctob_013219	Chrysochromulina tobinii	1434						
A0A0M0J667	A0A0M0J667_9EUKA	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16) (Fragment)	Ctob_002560	Chrysochromulina tobinii	378		protein phosphatase type 1 complex [GO:0000164]	protein phosphatase type 1 complex [GO:0000164]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]	protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]	GO:0000164; GO:0106306; GO:0106307	
A0A0M0LRG4	A0A0M0LRG4_9EUKA	unreviewed	Putative wd repeat-containing	Ctob_012818	Chrysochromulina tobinii	496						
A0A0M0JFJ4	A0A0M0JFJ4_9EUKA	unreviewed	Threonyl-tRNA synthetase (EC 6.1.1.3)	Ctob_011679	Chrysochromulina tobinii	787	threonyl-tRNA aminoacylation [GO:0006435]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]; threonyl-tRNA aminoacylation [GO:0006435]	ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]	GO:0004829; GO:0005524; GO:0005737; GO:0006435	
A0A0M0JMG2	A0A0M0JMG2_9EUKA	unreviewed	Phospholipase c 3-like protein	Ctob_000782	Chrysochromulina tobinii	566			hydrolase activity, acting on ester bonds [GO:0016788]	hydrolase activity, acting on ester bonds [GO:0016788]	GO:0016788	
A0A0M0K3J4	A0A0M0K3J4_9EUKA	unreviewed	Vegetative incompatibility protein het-e-1 (Fragment)	Ctob_016346	Chrysochromulina tobinii	357						
A0A0M0JKL4	A0A0M0JKL4_9EUKA	unreviewed	Small glutamine-rich tetratricopeptide repeat-containing protein beta	Ctob_002469	Chrysochromulina tobinii	467						
A0A0M0JBB2	A0A0M0JBB2_9EUKA	unreviewed	Ubox domain containing protein	Ctob_002717	Chrysochromulina tobinii	289			ubiquitin-protein transferase activity [GO:0004842]	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
A0A0M0K1Z2	A0A0M0K1Z2_9EUKA	unreviewed	Calmodulin 4	Ctob_016188	Chrysochromulina tobinii	430		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	
A0A0M0JP43	A0A0M0JP43_9EUKA	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	Ctob_004514	Chrysochromulina tobinii	1063	DNA-dependent DNA replication [GO:0006261]		DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA-dependent DNA replication [GO:0006261]	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]	GO:0003677; GO:0003887; GO:0006261	
A0A0M0JAT0	A0A0M0JAT0_9EUKA	unreviewed	Dynein heavy chain	Ctob_003501	Chrysochromulina tobinii	849			deoxyribonuclease II activity [GO:0004531]	deoxyribonuclease II activity [GO:0004531]	GO:0004531	
A0A0M0JTL5	A0A0M0JTL5_9EUKA	unreviewed	Nucleoporin seh1-like protein	Ctob_001146	Chrysochromulina tobinii	297	positive regulation of TORC1 signaling [GO:1904263]		structural molecule activity [GO:0005198]; positive regulation of TORC1 signaling [GO:1904263]	structural molecule activity [GO:0005198]	GO:0005198; GO:1904263	
A0A0M0K0S1	A0A0M0K0S1_9EUKA	unreviewed	Major facilitator superfamily mfs_1 (Fragment)	Ctob_003135	Chrysochromulina tobinii	291		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JK77	A0A0M0JK77_9EUKA	unreviewed	Protein kinase family transcriptional regulator	Ctob_009009	Chrysochromulina tobinii	771			kinase activity [GO:0016301]	kinase activity [GO:0016301]	GO:0016301	
A0A0M0JJM9	A0A0M0JJM9_9EUKA	unreviewed	Coagulation factor 5 8 type domain-containing protein	Ctob_007118	Chrysochromulina tobinii	1036	carbohydrate metabolic process [GO:0005975]; rRNA processing [GO:0006364]		hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]; rRNA processing [GO:0006364]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	GO:0004553; GO:0005975; GO:0006364	
A0A0M0JZY9	A0A0M0JZY9_9EUKA	unreviewed	Snf2 family n-terminal domain protein	Ctob_005280	Chrysochromulina tobinii	308						
A0A0M0KBL5	A0A0M0KBL5_9EUKA	unreviewed	Hcr2	Ctob_014184	Chrysochromulina tobinii	430						
A0A0M0LRN9	A0A0M0LRN9_9EUKA	unreviewed	Nudix hydrolase	Ctob_016117	Chrysochromulina tobinii	332	nucleobase-containing compound metabolic process [GO:0006139]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleobase-containing compound kinase activity [GO:0019205]; nucleobase-containing compound metabolic process [GO:0006139]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleobase-containing compound kinase activity [GO:0019205]	GO:0005524; GO:0006139; GO:0016787; GO:0019205	
A0A0M0J716	A0A0M0J716_9EUKA	unreviewed	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	Ctob_007400	Chrysochromulina tobinii	855	cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749]	mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]	mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; flavin adenine dinucleotide binding [GO:0050660]; glutathione-disulfide reductase (NADPH) activity [GO:0004362]; NADP binding [GO:0050661]; tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]; cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749]	flavin adenine dinucleotide binding [GO:0050660]; glutathione-disulfide reductase (NADPH) activity [GO:0004362]; NADP binding [GO:0050661]; tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]	GO:0004362; GO:0005634; GO:0005759; GO:0006749; GO:0045454; GO:0050660; GO:0050661; GO:0052906	
A0A0M0JJ10	A0A0M0JJ10_9EUKA	unreviewed	DNA-binding protein smubp-2 (Fragment)	Ctob_007109	Chrysochromulina tobinii	509			DNA binding [GO:0003677]; helicase activity [GO:0004386]	DNA binding [GO:0003677]; helicase activity [GO:0004386]	GO:0003677; GO:0004386	
A0A0M0J9J7	A0A0M0J9J7_9EUKA	unreviewed	Ribosomal protein l11	Ctob_004786	Chrysochromulina tobinii	158	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412	
A0A0M0J5W8	A0A0M0J5W8_9EUKA	unreviewed	TPT domain-containing protein	Ctob_005451	Chrysochromulina tobinii	119		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0K0Y6	A0A0M0K0Y6_9EUKA	unreviewed	Uncharacterized protein	Ctob_008864	Chrysochromulina tobinii	1093						
A0A0M0KB21	A0A0M0KB21_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_012307	Chrysochromulina tobinii	260						
A0A0M0K5M3	A0A0M0K5M3_9EUKA	unreviewed	Polycystic kidney disease 2-like 1	Ctob_010608	Chrysochromulina tobinii	701		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0K2X9	A0A0M0K2X9_9EUKA	unreviewed	Reduced lateral root formation protein	Ctob_009921	Chrysochromulina tobinii	236			heme binding [GO:0020037]; metal ion binding [GO:0046872]	heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0020037; GO:0046872	
A0A0M0JU22	A0A0M0JU22_9EUKA	unreviewed	Uncharacterized protein	Ctob_013852	Chrysochromulina tobinii	1558						
A0A0M0JWB1	A0A0M0JWB1_9EUKA	unreviewed	Putative e3 ubiquitin-protein ligase dtx2	Ctob_009662	Chrysochromulina tobinii	264			zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	GO:0008270	
A0A0M0K3Q3	A0A0M0K3Q3_9EUKA	unreviewed	Wd repeat-containing protein 27-like protein	Ctob_015623	Chrysochromulina tobinii	452						
A0A075DWR8	A0A075DWR8_9EUKA	unreviewed	30S ribosomal protein S2, chloroplastic	rps2 ChtoCp_00021	Chrysochromulina tobinii	229	translation [GO:0006412]	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0009507; GO:0015935	
A0A0M0JGZ2	A0A0M0JGZ2_9EUKA	unreviewed	Ef-hand domain-containing family member	Ctob_008012	Chrysochromulina tobinii	239			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509	
A0A0M0J6L8	A0A0M0J6L8_9EUKA	unreviewed	Uncharacterized protein	Ctob_004764	Chrysochromulina tobinii	150						
A0A0M0JIL6	A0A0M0JIL6_9EUKA	unreviewed	Tpr repeat-containing (Fragment)	Ctob_010365	Chrysochromulina tobinii	795						
A0A0M0JZW3	A0A0M0JZW3_9EUKA	unreviewed	Bis(5'-nucleosyl)-tetraphosphatase prpE-like protein	Ctob_012129	Chrysochromulina tobinii	322			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787	
A0A0M0LQG3	A0A0M0LQG3_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_014949	Chrysochromulina tobinii	79	phosphate ion transport [GO:0006817]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; inorganic phosphate transmembrane transporter activity [GO:0005315]; symporter activity [GO:0015293]; phosphate ion transport [GO:0006817]	inorganic phosphate transmembrane transporter activity [GO:0005315]; symporter activity [GO:0015293]	GO:0005315; GO:0006817; GO:0015293; GO:0016021	
A0A0M0K7U5	A0A0M0K7U5_9EUKA	unreviewed	ABC protein involved in-independent precise excision of transposon	Ctob_010962	Chrysochromulina tobinii	277			ATP binding [GO:0005524]	ATP binding [GO:0005524]	GO:0005524	
A0A0M0JVX2	A0A0M0JVX2_9EUKA	unreviewed	PDZ domain-containing protein (Fragment)	Ctob_013188	Chrysochromulina tobinii	687		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0KA82	A0A0M0KA82_9EUKA	unreviewed	Alpha-dehydro-beta-deoxy-D-glucarate aldolase	Ctob_011046	Chrysochromulina tobinii	365			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824	
A0A0M0KAC1	A0A0M0KAC1_9EUKA	unreviewed	Uncharacterized protein	Ctob_010052	Chrysochromulina tobinii	704			nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]	GO:0003676	
A0A0M0K2F8	A0A0M0K2F8_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_016147	Chrysochromulina tobinii	331						
A0A0M0JR31	A0A0M0JR31_9EUKA	unreviewed	tRNA-splicing endonuclease positive effector	Ctob_010827	Chrysochromulina tobinii	414			endonuclease activity [GO:0004519]; helicase activity [GO:0004386]	endonuclease activity [GO:0004519]; helicase activity [GO:0004386]	GO:0004386; GO:0004519	
A0A0M0JBY2	A0A0M0JBY2_9EUKA	unreviewed	Wd-40 repeat protein	Ctob_003271	Chrysochromulina tobinii	334						
A0A0M0JAM2	A0A0M0JAM2_9EUKA	unreviewed	Ankyrin repeat protein	Ctob_001566	Chrysochromulina tobinii	586						
A0A0M0JT77	A0A0M0JT77_9EUKA	unreviewed	Protein disulfide-isomerase 5-4-like protein	Ctob_008819	Chrysochromulina tobinii	531		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; isomerase activity [GO:0016853]	isomerase activity [GO:0016853]	GO:0016021; GO:0016853	
A0A0M0JW68	A0A0M0JW68_9EUKA	unreviewed	Autophagy-related protein 9	Ctob_004993	Chrysochromulina tobinii	888	autophagy [GO:0006914]; protein transport [GO:0015031]	cytoplasmic vesicle membrane [GO:0030659]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]	cytoplasmic vesicle membrane [GO:0030659]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; autophagy [GO:0006914]; protein transport [GO:0015031]		GO:0005794; GO:0006914; GO:0015031; GO:0016021; GO:0030659	
A0A0M0JUW8	A0A0M0JUW8_9EUKA	unreviewed	Chloroplast protein-transporting ATPase (EC 7.4.2.4) (Fragment)	Ctob_015524	Chrysochromulina tobinii	2627	protein import [GO:0017038]; protein targeting [GO:0006605]	membrane [GO:0016020]	membrane [GO:0016020]; ATP binding [GO:0005524]; helicase activity [GO:0004386]; protein import [GO:0017038]; protein targeting [GO:0006605]	ATP binding [GO:0005524]; helicase activity [GO:0004386]	GO:0004386; GO:0005524; GO:0006605; GO:0016020; GO:0017038	
A0A0M0J8J9	A0A0M0J8J9_9EUKA	unreviewed	Voltage-gated ion channel superfamily	Ctob_006298	Chrysochromulina tobinii	2388		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; cation channel activity [GO:0005261]	calcium ion binding [GO:0005509]; cation channel activity [GO:0005261]	GO:0005261; GO:0005509; GO:0005886; GO:0016021	
A0A0M0K646	A0A0M0K646_9EUKA	unreviewed	Histone deacetylase	Ctob_005638	Chrysochromulina tobinii	590						
A0A0M0JTH5	A0A0M0JTH5_9EUKA	unreviewed	Uncharacterized protein	Ctob_013177	Chrysochromulina tobinii	233		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0LRN7	A0A0M0LRN7_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_015816	Chrysochromulina tobinii	338						
